comic_id,title,release_date,cover_price,publisher_id,writer_id,edition_id,media_id
266,Star Wars: The Rise of Kylo Ren #1,2019-12-18,4.99,2,41,1,2
267,Star Wars: The Rise of Kylo Ren #2,2020-01-08,3.99,2,41,1,2
268,Star Wars: The Rise of Kylo Ren #3,2020-02-12,3.99,2,41,1,2
269,Star Wars: The Rise of Kylo Ren #4,2020-03-11,3.99,2,41,1,2
270,Suicide Squad: Rebirth #1 Variant Edition,2016-08-03,2.99,1,59,1,1
271,Superman #1 Variant Edition,2016-06-15,2.99,1,44,1,1
272,Superman #2,2016-07-06,2.99,1,44,1,1
273,Superman #3 Variant Edition,2016-07-20,2.99,1,44,1,1
274,Superman #4,2016-08-03,2.99,1,44,1,1
275,Superman #5,2016-08-17,2.99,1,44,1,1
276,Superman #6,2016-09-07,2.99,1,44,1,1
277,Superman #7,2016-09-21,2.99,1,44,1,1
278,Superman #8,2016-10-05,2.99,1,44,1,1
279,Superman #9 Variant Edition,2016-10-19,2.99,1,44,1,1
280,Superman: Rebirth #1 2nd Printing,2016-06-29,2.99,1,44,1,1
281,Superman: The Death of Superman TP,1993-01-01,4.95,1,60,3,1
282,Teen Titans: Rebirth #1,2016-09-28,2.99,1,38,1,1
283,Thanos: Thanos Wins TP,2018-06-27,0,2,58,3,2
284,Timely Comics All New All Different Avengers #1,2016-06-01,3,2,4,1,1
285,Timely Comics Doctor Strange #1,2016-06-08,3,2,61,1,1
286,Timely Comics Invincible Iron Man #1,2016-06-15,3,2,2,1,1
287,Timely Comics New Avengers #1,2016-06-15,3,2,32,1,1
288,Titans: Rebirth #1 2nd Printing,2016-07-13,2.99,1,30,1,1
289,True Believers: All-New Wolverine #1,2017-02-22,1,2,3,1,1
290,True Believers: House of M #1,2015-04-15,1,2,2,1,1
291,True Believers: Miles Morales #1,2015-04-29,1,2,2,1,1
292,Ultimate Spider-Man: Ultimate Collection Vol. 1 TP,2007-03-14,0,2,2,3,2
293,Uncanny X-Force By Rick Remender Omnibus HC 2020 Printing,2020-03-04,127,2,62,2,1
294,Uncanny X-Men Omnibus Vol. 3 HC 2021 Printing,2021-01-06,157,2,63,2,1
295,X-Men by Chris Claremont & Jim Lee Omnibus Vol. 2 HC 2021 Printing DM Variant,2021-03-10,157,2,63,2,1
296,The Vision HC,2018-01-23,50.43,2,12,5,2
297,Watchmen: The Deluxe Edition HC,2013-05-29,44.66,1,64,5,1
298,Weapon X #1,2017-04-12,3.99,2,31,1,2
299,Weapon X #2,2017-04-26,3.99,2,31,1,1
300,Weapon X #3,2017-05-10,3.99,2,31,1,1
301,Weapon X #4,2017-06-14,3.99,2,31,1,1
302,Weapons of Mutant Destruction: Alpha #1,2017-06-21,4.99,2,31,1,1
303,Wonder Woman #2 Variant Edition,2016-07-13,2.99,1,65,1,1
304,Wonder Woman #1 2nd Printing,2016-07-20,2.99,1,65,1,1
305,Wonder Woman #3,2016-07-27,2.99,1,65,1,1
306,Wonder Woman #4,2016-08-10,2.99,1,65,1,1
307,Wonder Woman #5,2016-08-24,2.99,1,65,1,1
308,Wonder Woman #6,2016-09-14,2.99,1,65,1,1
309,Wonder Woman #7,2016-09-28,2.99,1,65,1,1
310,Wonder Woman #8,2016-10-12,2.99,1,65,1,1
311,Wonder Woman #9,2016-10-26,2.99,1,65,1,1
312,Wonder Woman #11,2016-11-23,2.99,1,65,1,1
313,Wonder Woman: Rebirth #1,2016-06-08,2.99,1,65,1,1
314,X of Swords HC,2021-03-03,125,2,37,5,1
315,X-Men / Fantastic Four: 4X TP,2020-09-16,21.99,2,57,3,1
316,X-Men: Blue #1,2017-04-12,4.99,2,33,1,2
317,X-Men: Blue #2,2017-04-26,3.99,2,33,1,1
318,X-Men: Blue #3,2017-05-10,3.99,2,33,1,1
319,X-Men: Blue #4,2017-05-24,3.99,2,33,1,1
320,X-Men: Blue #5,2017-06-14,3.99,2,33,1,1
321,X-Men: Blue #6,2017-06-28,3.99,2,33,1,1
322,"X-Men: God Loves, Man Kills 2nd Printing",2011-04-27,16.5,2,63,3,1
323,X-Men: Gold #1,2017-04-05,4.99,2,66,1,2
324,X-Men: Gold #2,2017-04-26,3.99,2,66,1,1
325,X-Men: Gold #3,2017-05-03,3.99,2,66,1,1
326,X-Men: Gold #4,2017-05-17,3.99,2,66,1,1
327,X-Men: Gold #5,2017-06-07,3.99,2,66,1,1
328,X-Men: Gold #6,2017-06-21,3.99,2,66,1,1
329,X-Men: Prime #1,2017-03-29,4.99,2,33,1,1
330,A Year of Marvels: The Amazing #1,2016-04-27,4.99,2,67,1,1
